rank_frac,cum_access_frac
0.568359,0.972228
0.570312,0.972353
0.572266,0.972479
0.574219,0.972605
0.576172,0.97273
0.578125,0.972856
0.580078,0.972982
0.582031,0.973107
0.583984,0.973233
0.585938,0.973359
0.587891,0.973484
0.589844,0.97361
0.591797,0.973736
0.59375,0.973861
0.595703,0.973987
0.597656,0.974113
0.599609,0.974238
0.601562,0.974364
0.603516,0.97449
0.605469,0.974615
0.607422,0.974741
0.609375,0.974867
0.611328,0.974992
0.613281,0.975118
0.615234,0.975244
0.617188,0.975369
0.619141,0.975495
0.621094,0.975621
0.623047,0.975746
0.625,0.975872
0.626953,0.975998
0.628906,0.976123
0.630859,0.976249
0.632812,0.976375
0.634766,0.9765
0.636719,0.976626
0.638672,0.976752
0.640625,0.976877
0.642578,0.977003
0.644531,0.977129
0.646484,0.977254
0.648438,0.97738
0.650391,0.977506
0.652344,0.977631
0.654297,0.977757
0.65625,0.977883
0.658203,0.978008
0.660156,0.978134
0.662109,0.97826
0.664062,0.978385
0.666016,0.978511
0.667969,0.978637
0.669922,0.978762
0.671875,0.978888
0.673828,0.979014
0.675781,0.979139
0.677734,0.979265
0.679688,0.979391
0.681641,0.979516
0.683594,0.979642
0.685547,0.979768
0.6875,0.979893
0.689453,0.980019
0.691406,0.980145
0.693359,0.98027
0.695312,0.980396
0.697266,0.980522
0.699219,0.980647
0.701172,0.980773
0.703125,0.980899
0.705078,0.981024
0.707031,0.98115
0.708984,0.981276
0.710938,0.981401
0.712891,0.981527
0.714844,0.981653
0.716797,0.981778
0.71875,0.981904
0.720703,0.98203
0.722656,0.982155
0.724609,0.982281
0.726562,0.982407
0.728516,0.982532
0.730469,0.982658
0.732422,0.982784
0.734375,0.982909
0.736328,0.983035
0.738281,0.983161
0.740234,0.983286
0.742188,0.983412
0.744141,0.983538
0.746094,0.983663
0.748047,0.983789
0.75,0.983915
0.751953,0.98404
0.753906,0.984166
0.755859,0.984292
0.757812,0.984417
0.759766,0.984543
0.761719,0.984669
0.763672,0.984794
0.765625,0.98492
0.767578,0.985046
0.769531,0.985171
0.771484,0.985297
0.773438,0.985423
0.775391,0.985548
0.777344,0.985674
0.779297,0.9858
0.78125,0.985925
0.783203,0.986051
0.785156,0.986177
0.787109,0.986302
0.789062,0.986428
0.791016,0.986554
0.792969,0.986679
0.794922,0.986805
0.796875,0.986931
0.798828,0.987056
0.800781,0.987182
0.802734,0.987308
0.804688,0.987433
0.806641,0.987559
0.808594,0.987685
0.810547,0.98781
0.8125,0.987936
0.814453,0.988062
0.816406,0.988187
0.818359,0.988313
0.820312,0.988439
0.822266,0.988564
0.824219,0.98869
0.826172,0.988816
0.828125,0.988941
0.830078,0.989067
0.832031,0.989193
0.833984,0.989318
0.835938,0.989444
0.837891,0.98957
0.839844,0.989695
0.841797,0.989821
0.84375,0.989947
0.845703,0.990072
0.847656,0.990198
0.849609,0.990324
0.851562,0.990449
0.853516,0.990575
0.855469,0.990701
0.857422,0.990826
0.859375,0.990952
0.861328,0.991078
0.863281,0.991203
0.865234,0.991329
0.867188,0.991455
0.869141,0.99158
0.871094,0.991706
0.873047,0.991832
0.875,0.991957
0.876953,0.992083
0.878906,0.992209
0.880859,0.992334
0.882812,0.99246
0.884766,0.992586
0.886719,0.992711
0.888672,0.992837
0.890625,0.992963
0.892578,0.993088
0.894531,0.993214
0.896484,0.99334
0.898438,0.993465
0.900391,0.993591
0.902344,0.993717
0.904297,0.993842
0.90625,0.993968
0.908203,0.994094
0.910156,0.994219
0.912109,0.994345
0.914062,0.994471
0.916016,0.994596
0.917969,0.994722
0.919922,0.994848
0.921875,0.994973
0.923828,0.995099
0.925781,0.995225
0.927734,0.99535
0.929688,0.995476
0.931641,0.995602
0.933594,0.995727
0.935547,0.995853
0.9375,0.995979
0.939453,0.996104
0.941406,0.99623
0.943359,0.996356
0.945312,0.996481
0.947266,0.996607
0.949219,0.996733
0.951172,0.996858
0.953125,0.996984
0.955078,0.99711
0.957031,0.997235
0.958984,0.997361
0.960938,0.997487
0.962891,0.997612
0.964844,0.997738
0.966797,0.997864
0.96875,0.997989
0.970703,0.998115
0.972656,0.998241
0.974609,0.998366
0.976562,0.998492
0.978516,0.998618
0.980469,0.998743
0.982422,0.998869
0.984375,0.998995
0.986328,0.99912
0.988281,0.999246
0.990234,0.999372
0.992188,0.999497
0.994141,0.999623
0.996094,0.999749
0.998047,0.999874
1,1
